<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.12	20:00:00	1254.94	1259.31	1254.75	1258.54	6644	0	0
2016.04.12	21:00:00	1258.50	1259.00	1255.19	1257.09	2890	0	0
2016.04.12	22:00:00	1257.13	1258.01	1256.02	1256.31	2080	0	0
2016.04.12	23:00:00	1256.31	1256.73	1254.67	1255.41	1048	0	0
2016.04.13	01:00:00	1255.65	1256.42	1255.28	1256.03	597	0	0
2016.04.13	02:00:00	1256.03	1256.03	1254.18	1254.18	554	0	0
2016.04.13	03:00:00	1254.19	1256.72	1254.18	1255.24	3744	0	0
2016.04.13	04:00:00	1255.28	1256.50	1253.09	1253.70	6252	0	0
2016.04.13	05:00:00	1253.71	1254.26	1251.89	1252.21	6623	0	0
2016.04.13	06:00:00	1252.29	1253.47	1251.94	1252.99	4097	0	0
2016.04.13	07:00:00	1252.97	1252.97	1251.62	1252.03	3008	0	0
2016.04.13	08:00:00	1252.01	1252.02	1247.87	1248.58	7955	0	0
2016.04.13	09:00:00	1248.59	1251.40	1247.01	1248.29	10373	0	0
2016.04.13	10:00:00	1248.32	1250.78	1247.49	1249.39	10897	0	0
2016.04.13	11:00:00	1249.38	1250.38	1244.67	1245.30	10203	0	0
2016.04.13	12:00:00	1245.25	1246.24	1244.24	1245.10	11030	0	0
2016.04.13	13:00:00	1245.12	1245.31	1239.81	1241.17	10240	0	0
2016.04.13	14:00:00	1241.17	1243.13	1240.15	1241.98	7087	0	0
2016.04.13	15:00:00	1241.98	1248.33	1241.42	1246.37	13499	0	0
2016.04.13	16:00:00	1246.36	1250.50	1242.94	1245.29	17550	0	0
2016.04.13	17:00:00	1245.39	1249.38	1245.08	1247.89	16142	0	0
2016.04.13	18:00:00	1247.95	1249.08	1243.06	1245.17	8464	0	0
2016.04.13	19:00:00	1245.26	1246.69	1244.44	1246.23	5386	0	0
2016.04.13	20:00:00	1246.23	1247.47	1245.07	1246.75	4827	0	0
2016.04.13	21:00:00	1246.82	1247.16	1243.88	1243.88	2223	0	0
2016.04.13	22:00:00	1243.88	1244.33	1240.94	1243.05	4564	0	0
2016.04.13	23:00:00	1243.05	1243.39	1242.17	1242.57	1229	0	0
2016.04.14	01:00:00	1242.12	1242.84	1240.38	1241.56	793	0	0
2016.04.14	02:00:00	1241.56	1242.26	1240.56	1241.04	1551	0	0
2016.04.14	03:00:00	1241.02	1241.55	1229.39	1234.49	5942	0	0
2016.04.14	04:00:00	1234.49	1236.25	1229.19	1232.84	7324	0	0
2016.04.14	05:00:00	1232.83	1233.56	1231.86	1232.73	6242	0	0
2016.04.14	06:00:00	1232.71	1233.53	1231.93	1232.82	4364	0	0
2016.04.14	07:00:00	1232.81	1233.45	1232.34	1233.13	3425	0	0
2016.04.14	08:00:00	1233.12	1235.15	1232.88	1234.55	5512	0	0
2016.04.14	09:00:00	1234.55	1235.44	1231.83	1235.19	8241	0	0
2016.04.14	10:00:00	1235.20	1241.00	1232.76	1239.30	11707	0	0
2016.04.14	11:00:00	1239.40	1244.13	1238.88	1241.03	12133	0	0
2016.04.14	12:00:00	1241.03	1243.54	1238.65	1239.97	11306	0	0
2016.04.14	13:00:00	1239.96	1240.98	1238.93	1239.24	9020	0	0
2016.04.14	14:00:00	1239.17	1240.65	1238.86	1240.11	8638	0	0
2016.04.14	15:00:00	1240.16	1240.32	1232.92	1234.33	17159	0	0
2016.04.14	16:00:00	1234.37	1237.03	1230.67	1234.29	18791	0	0
2016.04.14	17:00:00	1234.33	1234.69	1230.22	1231.56	13255	0	0
2016.04.14	18:00:00	1231.61	1232.25	1225.64	1225.96	11892	0	0
2016.04.14	19:00:00	1225.95	1226.81	1224.34	1225.11	11212	0	0
2016.04.14	20:00:00	1225.13	1227.02	1224.53	1225.59	6832	0	0
2016.04.14	21:00:00	1225.61	1228.39	1224.52	1225.92	4230	0	0
2016.04.14	22:00:00	1225.90	1226.81	1223.87	1225.28	1696	0	0
2016.04.14	23:00:00	1225.33	1227.43	1224.96	1227.23	578	0	0
2016.04.15	01:00:00	1227.32	1228.84	1226.50	1228.01	1173	0	0
2016.04.15	02:00:00	1228.03	1229.70	1227.82	1229.39	865	0	0
2016.04.15	03:00:00	1229.35	1229.65	1225.35	1225.99	5531	0	0
2016.04.15	04:00:00	1225.99	1227.65	1225.30	1226.26	7040	0	0
2016.04.15	05:00:00	1226.28	1229.31	1226.26	1228.64	5989	0	0
2016.04.15	06:00:00	1228.64	1230.51	1228.33	1229.41	3481	0	0
2016.04.15	07:00:00	1229.42	1229.53	1227.97	1228.60	3638	0	0
2016.04.15	08:00:00	1228.58	1231.65	1228.48	1231.29	2445	0	0
2016.04.15	09:00:00	1231.19	1231.98	1229.66	1230.09	1618	0	0
2016.04.15	10:00:00	1230.09	1231.29	1228.36	1230.01	5862	0	0
2016.04.15	11:00:00	1230.05	1230.99	1229.01	1230.30	6771	0	0
2016.04.15	12:00:00	1230.30	1230.50	1227.99	1228.69	6782	0	0
2016.04.15	13:00:00	1228.70	1230.79	1228.51	1230.55	6048	0	0
2016.04.15	14:00:00	1230.55	1231.77	1229.90	1230.07	5942	0	0
2016.04.15	15:00:00	1230.07	1231.70	1228.57	1230.70	10339	0	0
2016.04.15	16:00:00	1230.70	1232.75	1226.33	1227.21	13996	0	0
2016.04.15	17:00:00	1227.31	1230.84	1227.26	1229.52	12149	0	0
2016.04.15	18:00:00	1229.56	1234.62	1228.77	1233.22	9235	0	0
2016.04.15	19:00:00	1233.20	1235.94	1232.80	1233.83	6365	0	0
2016.04.15	20:00:00	1233.86	1235.21	1232.04	1233.22	6177	0	0
2016.04.15	21:00:00	1233.23	1233.32	1231.80	1232.27	3767	0	0
2016.04.15	22:00:00	1232.24	1234.83	1232.24	1233.95	3205	0	0
2016.04.15	23:00:00	1234.05	1234.45	1233.53	1233.54	368	0	0
2016.04.18	01:00:00	1234.67	1239.43	1234.45	1238.19	2278	0	0
2016.04.18	02:00:00	1238.09	1238.09	1235.18	1237.02	2700	0	0
2016.04.18	03:00:00	1237.08	1239.53	1236.12	1236.42	3474	0	0
2016.04.18	04:00:00	1236.41	1237.12	1233.30	1234.86	4601	0	0
2016.04.18	05:00:00	1234.86	1236.10	1234.18	1234.36	3307	0	0
2016.04.18	06:00:00	1234.36	1235.08	1233.94	1234.52	2153	0	0
2016.04.18	07:00:00	1234.52	1235.55	1233.98	1235.16	2863	0	0
2016.04.18	08:00:00	1235.30	1236.69	1235.16	1235.83	2542	0	0
2016.04.18	09:00:00	1235.83	1237.22	1229.92	1231.24	6029	0	0
2016.04.18	10:00:00	1231.24	1237.69	1231.00	1234.97	5081	0	0
2016.04.18	11:00:00	1234.90	1235.88	1233.40	1235.21	2621	0	0
2016.04.18	12:00:00	1235.21	1238.73	1234.89	1238.68	3156	0	0
2016.04.18	13:00:00	1238.78	1240.03	1236.77	1237.55	2205	0	0
2016.04.18	14:00:00	1237.60	1238.28	1237.11	1237.71	1096	0	0
2016.04.18	15:00:00	1237.76	1241.25	1237.38	1239.53	8422	0	0
2016.04.18	16:00:00	1239.64	1241.66	1233.86	1233.89	16649	0	0
2016.04.18	17:00:00	1233.89	1235.81	1232.45	1235.45	14457	0	0
2016.04.18	18:00:00	1235.47	1236.20	1233.59	1233.75	9276	0	0
2016.04.18	19:00:00	1233.85	1234.23	1231.00	1232.16	9930	0	0
2016.04.18	20:00:00	1232.18	1235.14	1232.06	1233.95	7273	0	0
2016.04.18	21:00:00	1233.90	1234.49	1232.33	1233.49	4528	0	0
2016.04.18	22:00:00	1233.47	1234.04	1231.17	1231.84	4633	0	0
2016.04.18	23:00:00	1231.83	1233.01	1231.78	1232.38	1379	0	0
2016.04.19	01:00:00	1232.23	1232.34	1230.78	1231.64	761	0	0
2016.04.19	02:00:00	1231.68	1231.95	1227.83	1229.38	1771	0	0
2016.04.19	03:00:00	1229.38	1230.16	1227.68	1229.61	3596	0	0
2016.04.19	04:00:00	1229.59	1231.16	1229.15	1230.74	3634	0	0
2016.04.19	05:00:00	1230.66	1231.57	1230.34	1231.28	2342	0	0
2016.04.19	06:00:00	1231.21	1235.38	1227.93	1233.48	3278	0	0
2016.04.19	07:00:00	1233.53	1234.98	1231.92	1233.36	2687	0	0
2016.04.19	08:00:00	1233.33	1233.89	1231.97	1233.27	2636	0	0
2016.04.19	09:00:00	1233.27	1246.09	1233.04	1244.25	11142	0	0
2016.04.19	10:00:00	1244.23	1246.30	1241.46	1241.88	9108	0	0
2016.04.19	11:00:00	1241.98	1243.28	1241.58	1241.95	7755	0	0
2016.04.19	12:00:00	1241.99	1243.43	1241.44	1243.13	7842	0	0
2016.04.19	13:00:00	1243.17	1243.50	1241.05	1242.49	6587	0	0
2016.04.19	14:00:00	1242.47	1244.16	1241.80	1243.36	8909	0	0
2016.04.19	15:00:00	1243.36	1251.57	1243.26	1249.97	18030	0	0
